instance_id,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
13,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are all the song names by singers who are older than average?,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['What', 'are', 'all', 'the', 'song', 'names', 'by', 'singers', 'who', 'are', 'older', 'than', 'average', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all the song names by singers who are older than average? <query> ",<strong>SELECT Song_Name FROM Singer WHERE Age > (SELECT avg(Age) FROM Singer)</strong>
14,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['Show', 'location', 'and', 'name', 'for', 'all', 'stadiums', 'with', 'a', 'capacity', 'between', '5000', 'and', '10000', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show location and name for all stadiums with a capacity between 5000 and 10000. <query> "," <strong>SELECT location ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000</strong>"
15,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",What are the locations and names of all stations with capacity between 5000 and 10000?,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['What', 'are', 'the', 'locations', 'and', 'names', 'of', 'all', 'stations', 'with', 'capacity', 'between', '5000', 'and', '10000', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the locations and names of all stations with capacity between 5000 and 10000? <query> "," <strong>SELECT Location ,  Station_Name FROM station WHERE Capacity BETWEEN 5000 AND 10000</strong>"
16,concert_singer,"select max(capacity), average from stadium",What is the maximum capacity and the average of all stadiums ?,"['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['What', 'is', 'the', 'maximum', 'capacity', 'and', 'the', 'average', 'of', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the maximum capacity and the average of all stadiums ? <query> "," <strong>SELECT max(capacity) ,  avg(capacity) FROM stadium</strong>"
17,concert_singer,"select avg(capacity) ,  max(capacity) from stadium",What is the average and maximum capacities for all stadiums ?,"['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['What', 'is', 'the', 'average', 'and', 'maximum', 'capacities', 'for', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average and maximum capacities for all stadiums ? <query> ",
18,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with highest average attendance? <query> "," <strong>SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN attendance AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id ORDER BY avg(T2.attendance) DESC LIMIT 1</strong>"
19,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with the highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'the', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with the highest average attendance? <query> "," <strong>SELECT T1.name ,  T1.capacity FROM stadium AS T1 JOIN attendance AS T2 ON T1.id  =  T2.stadium_id GROUP BY T1.id ORDER BY avg(T2.attendance) DESC LIMIT 1</strong>"
20,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts are there in year 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'are', 'there', 'in', 'year', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts are there in year 2014 or 2015? <query> ",<strong>SELECT count(*) FROM concert WHERE year  =  2014 OR year  =  2015</strong>
21,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts occurred in 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'occurred', 'in', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts occurred in 2014 or 2015? <query> ",<strong>SELECT count(*) FROM concert WHERE year BETWEEN 2014 AND 2015</strong>
22,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",Show the stadium name and the number of concerts in each stadium.,"['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'GROUP', 'BY', 'T1.stadium_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","['Show', 'the', 'stadium', 'name', 'and', 'the', 'number', 'of', 'concerts', 'in', 'each', 'stadium', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium name and the number of concerts in each stadium. <query> "," <strong>SELECT stadium_name ,  count(*) FROM concert GROUP BY stadium_name</strong>"
23,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","For each stadium, how many concerts play there?","['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'GROUP', 'BY', 'T1.stadium_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","['For', 'each', 'stadium', ',', 'how', 'many', 'concerts', 'play', 'there', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> For each stadium, how many concerts play there? <query> "," <strong>SELECT stadium ,  count(*) FROM concert GROUP BY stadium</strong>"
24,concert_singer,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",Show the stadium name and capacity with most number of concerts in year 2014 or after.,"['SELECT', 'T2.name', ',', 'T2.capacity', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'WHERE', 'T1.year', '>', '=', '2014', 'GROUP', 'BY', 'T2.stadium_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', '=', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Show', 'the', 'stadium', 'name', 'and', 'capacity', 'with', 'most', 'number', 'of', 'concerts', 'in', 'year', '2014', 'or', 'after', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium name and capacity with most number of concerts in year 2014 or after. <query> "," <strong>SELECT stadium_name ,  max(capacity) FROM concert WHERE year  >=  2014 GROUP BY stadium_name</strong>"
25,concert_singer,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",What is the name and capacity of the stadium with the most concerts after 2013 ?,"['select', 't2.name', ',', 't2.capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1.stadium_id', '=', 't2.stadium_id', 'where', 't1.year', '>', '2013', 'group', 'by', 't2.stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', '1']","['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'of', 'the', 'stadium', 'with', 'the', 'most', 'concerts', 'after', '2013', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity of the stadium with the most concerts after 2013 ? <query> "," <strong>SELECT T1.name ,  T1.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id WHERE T1.year  >  2013 GROUP BY T1.stadium_id ORDER BY count(*) DESC LIMIT 1</strong>"
26,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Which year has most number of concerts?,"['SELECT', 'YEAR', 'FROM', 'concert', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Which', 'year', 'has', 'most', 'number', 'of', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Which year has most number of concerts? <query> ",<strong>SELECT year FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1</strong>
27,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,What is the year that had the most concerts?,"['SELECT', 'YEAR', 'FROM', 'concert', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'year', 'that', 'had', 'the', 'most', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the year that had the most concerts? <query> ",<strong>SELECT year FROM concert GROUP BY year ORDER BY count(*) DESC LIMIT 1</strong>
28,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),Show the stadium names without any concert.,"['SELECT', 'name', 'FROM', 'stadium', 'WHERE', 'stadium_id', 'NOT', 'IN', '(', 'SELECT', 'stadium_id', 'FROM', 'concert', ')']","['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']","['Show', 'the', 'stadium', 'names', 'without', 'any', 'concert', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium names without any concert. <query> ",<strong>SELECT stadium_name FROM concert_info WHERE concert_id NOT IN (SELECT concert_id FROM concert_info WHERE concert_id IN (SELECT concert_id FROM concert_info GROUP BY concert_id HAVING count(*)  =  1))</strong>
29,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),What are the names of the stadiums without any concerts?,"['SELECT', 'name', 'FROM', 'stadium', 'WHERE', 'stadium_id', 'NOT', 'IN', '(', 'SELECT', 'stadium_id', 'FROM', 'concert', ')']","['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']","['What', 'are', 'the', 'names', 'of', 'the', 'stadiums', 'without', 'any', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the stadiums without any concerts? <query> ",<strong>SELECT stadium_name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)</strong>
30,concert_singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,Show countries where a singer above age 40 and a singer below 30 are from.,"['SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '40', 'INTERSECT', 'SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '<', '30']","['select', 'country', 'from', 'singer', 'where', 'age', '>', 'value', 'intersect', 'select', 'country', 'from', 'singer', 'where', 'age', '<', 'value']","['Show', 'countries', 'where', 'a', 'singer', 'above', 'age', '40', 'and', 'a', 'singer', 'below', '30', 'are', 'from', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show countries where a singer above age 40 and a singer below 30 are from. <query> ",<strong>SELECT Country FROM Singer WHERE Age  >  40 UNION SELECT Country FROM Singer WHERE Age  <  30</strong>
31,concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,Show names for all stadiums except for stadiums having a concert in year 2014.,"['SELECT', 'name', 'FROM', 'stadium', 'EXCEPT', 'SELECT', 'T2.name', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'WHERE', 'T1.year', '=', '2014']","['select', 'name', 'from', 'stadium', 'except', 'select', 't2', '.', 'name', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']","['Show', 'names', 'for', 'all', 'stadiums', 'except', 'for', 'stadiums', 'having', 'a', 'concert', 'in', 'year', '2014', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show names for all stadiums except for stadiums having a concert in year 2014. <query> ",<strong>SELECT T1.name FROM stadium AS T1 EXCEPT SELECT T2.name FROM stadium AS T2 JOIN concert AS T3 ON T2.id  =  T3.stadium_id WHERE T3.year  =  2014</strong>
32,concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,What are the names of all stadiums that did not have a concert in 2014?,"['SELECT', 'name', 'FROM', 'stadium', 'EXCEPT', 'SELECT', 'T2.name', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'WHERE', 'T1.year', '=', '2014']","['select', 'name', 'from', 'stadium', 'except', 'select', 't2', '.', 'name', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'all', 'stadiums', 'that', 'did', 'not', 'have', 'a', 'concert', 'in', '2014', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of all stadiums that did not have a concert in 2014? <query> ",<strong>SELECT stadium_name FROM stadium WHERE year != 2014</strong>
33,concert_singer,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",Show the name and theme for all concerts and the number of singers in each concert.,"['SELECT', 'T2.concert_name', ',', 'T2.theme', ',', 'count', '(', '*', ')', 'FROM', 'singer_in_concert', 'AS', 'T1', 'JOIN', 'concert', 'AS', 'T2', 'ON', 'T1.concert_id', '=', 'T2.concert_id', 'GROUP', 'BY', 'T2.concert_id']","['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']","['Show', 'the', 'name', 'and', 'theme', 'for', 'all', 'concerts', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'concert', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the name and theme for all concerts and the number of singers in each concert. <query> "," <strong>SELECT T1.name ,  T1.theme ,  count(*) FROM concert AS T1 JOIN singer AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T1.name ,  T1.theme</strong>"
34,concert_singer,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","What are the names , themes , and number of singers for every concert ?","['select', 't2.concert_name', ',', 't2.theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1.concert_id', '=', 't2.concert_id', 'group', 'by', 't2.concert_id']","['select', 't2', '.', 'concert_name', ',', 't2', '.', 'theme', ',', 'count', '(', '*', ')', 'from', 'singer_in_concert', 'as', 't1', 'join', 'concert', 'as', 't2', 'on', 't1', '.', 'concert_id', '=', 't2', '.', 'concert_id', 'group', 'by', 't2', '.', 'concert_id']","['What', 'are', 'the', 'names', ',', 'themes', ',', 'and', 'number', 'of', 'singers', 'for', 'every', 'concert', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names , themes , and number of singers for every concert ? <query> "," <strong>SELECT T1.name , T1.theme , T1.num_of_singers FROM concert AS T1</strong>"
