instance_number,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
10,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",Show all countries and the number of singers in each country.,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['Show', 'all', 'countries', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'country', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all countries and the number of singers in each country. <query> ","SELECT country, COUNT(singer) AS singersFROM concert_singerGROUP BY countryORDER BY singers DESC"
11,concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",How many singers are from each country?,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['How', 'many', 'singers', 'are', 'from', 'each', 'country', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers are from each country? <query> "," <h3> Answer </h3> <pre> SELECT country, COUNT(singer_id) AS singers_per_country FROM singer GROUP BY country ORDER BY singers_per_country DESC </pre>"
12,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),List all song names by singers above the average age.,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['List', 'all', 'song', 'names', 'by', 'singers', 'above', 'the', 'average', 'age', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List all song names by singers above the average age. <query> ", <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need to use the AVG aggregate function. </question> <hint> <question> Hint: You will need
13,concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are all the song names by singers who are older than average?,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['What', 'are', 'all', 'the', 'song', 'names', 'by', 'singers', 'who', 'are', 'older', 'than', 'average', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all the song names by singers who are older than average? <query> ",SELECT song_nameFROM singerWHERE singer_age > (SELECT AVG(singer_age) FROM singer)
14,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",Show location and name for all stadiums with a capacity between 5000 and 10000.,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['Show', 'location', 'and', 'name', 'for', 'all', 'stadiums', 'with', 'a', 'capacity', 'between', '5000', 'and', '10000', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show location and name for all stadiums with a capacity between 5000 and 10000. <query> ","SELECT stadium_name, capacity FROM stadium WHERE capacity BETWEEN 5000 AND 10000;"
15,concert_singer,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",What are the locations and names of all stations with capacity between 5000 and 10000?,"['SELECT', 'LOCATION', ',', 'name', 'FROM', 'stadium', 'WHERE', 'capacity', 'BETWEEN', '5000', 'AND', '10000']","['select', 'location', ',', 'name', 'from', 'stadium', 'where', 'capacity', 'between', 'value', 'and', 'value']","['What', 'are', 'the', 'locations', 'and', 'names', 'of', 'all', 'stations', 'with', 'capacity', 'between', '5000', 'and', '10000', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the locations and names of all stations with capacity between 5000 and 10000? <query> ","SELECT station_name, capacityFROM stationWHERE capacity BETWEEN 5000 AND 10000; "
16,concert_singer,"select max(capacity), average from stadium",What is the maximum capacity and the average of all stadiums ?,"['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['select', 'max', '(', 'capacity', ')', ',', 'average', 'from', 'stadium']","['What', 'is', 'the', 'maximum', 'capacity', 'and', 'the', 'average', 'of', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the maximum capacity and the average of all stadiums ? <query> "," <h3> Answer </h3> <pre>    SELECT MAX(capacity), AVG(capacity)    FROM stadium </pre>"
17,concert_singer,"select avg(capacity) ,  max(capacity) from stadium",What is the average and maximum capacities for all stadiums ?,"['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['select', 'avg', '(', 'capacity', ')', ',', 'max', '(', 'capacity', ')', 'from', 'stadium']","['What', 'is', 'the', 'average', 'and', 'maximum', 'capacities', 'for', 'all', 'stadiums', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average and maximum capacities for all stadiums ? <query> ","    SELECT AVG(capacity), MAX(capacity)    FROM stadium "
18,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with highest average attendance? <query> ","SELECT stadium_name, capacityFROM concert_singer.stadiumWHERE average_attendance = (SELECT MAX(average_attendance) FROM concert_singer.stadium);"
19,concert_singer,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",What is the name and capacity for the stadium with the highest average attendance?,"['SELECT', 'name', ',', 'capacity', 'FROM', 'stadium', 'ORDER', 'BY', 'average', 'DESC', 'LIMIT', '1']","['select', 'name', ',', 'capacity', 'from', 'stadium', 'order', 'by', 'average', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'for', 'the', 'stadium', 'with', 'the', 'highest', 'average', 'attendance', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity for the stadium with the highest average attendance? <query> ","SELECT stadium_name, capacityFROM stadiumWHERE average_attendance = (SELECT MAX(average_attendance) FROM stadium);"
20,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts are there in year 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'are', 'there', 'in', 'year', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts are there in year 2014 or 2015? <query> ",    SELECT concert_id    FROM concert    WHERE year = 2014 OR year = 2015    ORDER BY concert_id</query>
21,concert_singer,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,How many concerts occurred in 2014 or 2015?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'concert', 'WHERE', 'YEAR', '=', '2014', 'OR', 'YEAR', '=', '2015']","['select', 'count', '(', '*', ')', 'from', 'concert', 'where', 'year', '=', 'value', 'or', 'year', '=', 'value']","['How', 'many', 'concerts', 'occurred', 'in', '2014', 'or', '2015', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many concerts occurred in 2014 or 2015? <query> ",SELECT concert_idFROM concertWHERE year = 2014 OR year = 2015;
22,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",Show the stadium name and the number of concerts in each stadium.,"['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'GROUP', 'BY', 'T1.stadium_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","['Show', 'the', 'stadium', 'name', 'and', 'the', 'number', 'of', 'concerts', 'in', 'each', 'stadium', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium name and the number of concerts in each stadium. <query> ","    SELECT stadium_name, COUNT(concert_id) AS concerts    FROM concert_singer    GROUP BY stadium_name    ORDER BY concerts DESC"
23,concert_singer,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","For each stadium, how many concerts play there?","['SELECT', 'T2.name', ',', 'count', '(', '*', ')', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'GROUP', 'BY', 'T1.stadium_id']","['select', 't2', '.', 'name', ',', 'count', '(', '*', ')', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'group', 'by', 't1', '.', 'stadium_id']","['For', 'each', 'stadium', ',', 'how', 'many', 'concerts', 'play', 'there', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> For each stadium, how many concerts play there? <query> ","    """"""    """"""    SELECT stadium, COUNT(concert_id)    FROM concert_singer    GROUP BY stadium    ORDER BY COUNT(concert_id) DESC    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """"""    """"""    SELECT concert_id, singer_id, stadium    FROM concert_singer    WHERE concert_id = 1    """""""
24,concert_singer,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",Show the stadium name and capacity with most number of concerts in year 2014 or after.,"['SELECT', 'T2.name', ',', 'T2.capacity', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'WHERE', 'T1.year', '>', '=', '2014', 'GROUP', 'BY', 'T2.stadium_id', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', '=', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Show', 'the', 'stadium', 'name', 'and', 'capacity', 'with', 'most', 'number', 'of', 'concerts', 'in', 'year', '2014', 'or', 'after', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium name and capacity with most number of concerts in year 2014 or after. <query> ","SELECT stadium_name, capacityFROM concert_singerWHERE year >= 2014ORDER BY year DESCLIMIT 1"
25,concert_singer,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",What is the name and capacity of the stadium with the most concerts after 2013 ?,"['select', 't2.name', ',', 't2.capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1.stadium_id', '=', 't2.stadium_id', 'where', 't1.year', '>', '2013', 'group', 'by', 't2.stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', '1']","['select', 't2', '.', 'name', ',', 't2', '.', 'capacity', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '>', 'value', 'group', 'by', 't2', '.', 'stadium_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'name', 'and', 'capacity', 'of', 'the', 'stadium', 'with', 'the', 'most', 'concerts', 'after', '2013', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the name and capacity of the stadium with the most concerts after 2013 ? <query> ","SELECT stadium_name, capacityFROM concert_singerWHERE year > 2013ORDER BY year DESCLIMIT 1"
26,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,Which year has most number of concerts?,"['SELECT', 'YEAR', 'FROM', 'concert', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['Which', 'year', 'has', 'most', 'number', 'of', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Which year has most number of concerts? <query> ", SELECT YEAR FROM concert_singer WHERE YEAR = (SELECT MAX(YEAR) FROM concert_singer) 
27,concert_singer,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,What is the year that had the most concerts?,"['SELECT', 'YEAR', 'FROM', 'concert', 'GROUP', 'BY', 'YEAR', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 'year', 'from', 'concert', 'group', 'by', 'year', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'year', 'that', 'had', 'the', 'most', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the year that had the most concerts? <query> ","    SELECT YEAR, COUNT(YEAR) AS NUM_CONCERTS    FROM concert_singer    GROUP BY YEAR    ORDER BY COUNT(YEAR) DESC    LIMIT 1</query>"
28,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),Show the stadium names without any concert.,"['SELECT', 'name', 'FROM', 'stadium', 'WHERE', 'stadium_id', 'NOT', 'IN', '(', 'SELECT', 'stadium_id', 'FROM', 'concert', ')']","['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']","['Show', 'the', 'stadium', 'names', 'without', 'any', 'concert', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the stadium names without any concert. <query> "," <question> For the concert_singer database, Show the stadium names without any concert. </question> <query> SELECT stadium_name FROM concert_singer WHERE concert_id IS NULL;"
29,concert_singer,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),What are the names of the stadiums without any concerts?,"['SELECT', 'name', 'FROM', 'stadium', 'WHERE', 'stadium_id', 'NOT', 'IN', '(', 'SELECT', 'stadium_id', 'FROM', 'concert', ')']","['select', 'name', 'from', 'stadium', 'where', 'stadium_id', 'not', 'in', '(', 'select', 'stadium_id', 'from', 'concert', ')']","['What', 'are', 'the', 'names', 'of', 'the', 'stadiums', 'without', 'any', 'concerts', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the stadiums without any concerts? <query> ",SELECT stadium_nameFROM stadiumWHERE stadium_id NOT IN (SELECT stadium_id FROM concert)    
30,concert_singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,Show countries where a singer above age 40 and a singer below 30 are from.,"['SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '40', 'INTERSECT', 'SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '<', '30']","['select', 'country', 'from', 'singer', 'where', 'age', '>', 'value', 'intersect', 'select', 'country', 'from', 'singer', 'where', 'age', '<', 'value']","['Show', 'countries', 'where', 'a', 'singer', 'above', 'age', '40', 'and', 'a', 'singer', 'below', '30', 'are', 'from', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show countries where a singer above age 40 and a singer below 30 are from. <query> ",SELECT DISTINCT countryFROM singerWHERE singer.age > 40AND singer.age < 30
31,concert_singer,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,Show names for all stadiums except for stadiums having a concert in year 2014.,"['SELECT', 'name', 'FROM', 'stadium', 'EXCEPT', 'SELECT', 'T2.name', 'FROM', 'concert', 'AS', 'T1', 'JOIN', 'stadium', 'AS', 'T2', 'ON', 'T1.stadium_id', '=', 'T2.stadium_id', 'WHERE', 'T1.year', '=', '2014']","['select', 'name', 'from', 'stadium', 'except', 'select', 't2', '.', 'name', 'from', 'concert', 'as', 't1', 'join', 'stadium', 'as', 't2', 'on', 't1', '.', 'stadium_id', '=', 't2', '.', 'stadium_id', 'where', 't1', '.', 'year', '=', 'value']","['Show', 'names', 'for', 'all', 'stadiums', 'except', 'for', 'stadiums', 'having', 'a', 'concert', 'in', 'year', '2014', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show names for all stadiums except for stadiums having a concert in year 2014. <query> ",SELECT stadium_nameFROM stadiumWHERE stadium_name NOT IN (SELECT stadium_name                           FROM concert                           WHERE year = 2014)
